LandAverageTemperature,LandMaxTemperature,Year
7.90066666666667,19.233,1850
8.17858333333333,17.361,1851
8.10016666666667,17.795,1852
8.04183333333333,19.308,1853
8.2105,20.426,1854
8.11075,19.012,1855
7.99591666666667,18.386,1856
7.75816666666667,18.717,1857
8.10025,18.968,1858
8.252,19.444,1859
7.96083333333333,19.163,1860
7.8465,19.37,1861
7.55858333333334,20.663,1862
8.11183333333333,18.408,1863
7.98358333333333,18.909,1864
8.17783333333333,19.111,1865
8.29216666666667,20.369,1866
8.43633333333333,20.032,1867
8.24791666666667,20.504,1868
8.43208333333333,19.825,1869
8.20133333333333,20.29,1870
8.11508333333333,19.837,1871
8.19383333333333,19.705,1872
8.35108333333333,19.974,1873
8.4335,19.82,1874
7.85958333333333,20.534,1875
8.08008333333333,19.855,1876
8.53958333333333,20.733,1877
8.82975,20.308,1878
8.16583333333333,19.637,1879
8.11875,20.037,1880
8.27091666666667,20.295,1881
8.12891666666667,19.832,1882
7.97691666666667,20.457,1883
7.77366666666667,19.569,1884
7.91966666666667,20.205,1885
7.9545,20.004,1886
7.91491666666667,19.899,1887
8.0905,20.063,1888
8.319,20.315,1889
7.97166666666667,19.718,1890
8.01933333333333,19.849,1891
8.06583333333333,19.82,1892
8.05675,20.005,1893
8.161,19.851,1894
8.147,19.614,1895
8.21491666666667,19.886,1896
8.29333333333334,20.297,1897
8.178,20.145,1898
8.39633333333333,20.168,1899
8.50158333333333,19.897,1900
8.54191666666667,20.34,1901
8.30441666666667,20.2,1902
8.22016666666667,19.787,1903
8.09091666666667,19.678,1904
8.22516666666667,19.877,1905
8.37908333333333,20.058,1906
7.94716666666667,19.626,1907
8.18608333333333,19.748,1908
8.17825,19.787,1909
8.223,19.952,1910
8.177,19.987,1911
8.16541666666667,19.729,1912
8.29775,20.256,1913
8.5905,20.065,1914
8.59316666666667,20.553,1915
8.22525,20.012,1916
8.02333333333333,20.083,1917
8.13083333333333,19.916,1918
8.38225,20.146,1919
8.35875,20.121,1920
8.571,20.42,1921
8.408,20.098,1922
8.42216666666667,19.81,1923
8.50683333333333,20.057,1924
8.53441666666667,19.971,1925
8.72883333333333,19.998,1926
8.52208333333333,20.237,1927
8.63216666666667,20.005,1928
8.24241666666667,19.652,1929
8.63358333333333,20.252,1930
8.71925,20.399,1931
8.70525,20.093,1932
8.33825,20.037,1933
8.62833333333333,20.14,1934
8.51575,20.173,1935
8.554,20.443,1936
8.69833333333333,20.154,1937
8.86366666666667,20.249,1938
8.76033333333333,20.26,1939
8.76466666666667,20.408,1940
8.76866666666667,20.578,1941
8.72841666666667,20.107,1942
8.75508333333334,20.394,1943
8.845,20.493,1944
8.58483333333333,20.189,1945
8.67691666666667,20.265,1946
8.79708333333333,20.126,1947
8.74675,20.334,1948
8.58675,20.128,1949
8.36525,19.882,1950
8.62566666666667,20.225,1951
8.63825,20.416,1952
8.87375,20.254,1953
8.56066666666667,20.015,1954
8.62625,19.959,1955
8.27958333333333,19.952,1956
8.7325,19.828,1957
8.77375,20.121,1958
8.73266666666667,20.236,1959
8.58375,19.884,1960
8.79766666666667,20.014,1961
8.74591666666667,20.054,1962
8.856,20.229,1963
8.40966666666667,20.065,1964
8.52741666666667,19.869,1965
8.59933333333333,20.392,1966
8.70008333333333,20.142,1967
8.51633333333333,19.734,1968
8.59508333333333,20.024,1969
8.70091666666667,20.254,1970
8.59925,19.984,1971
8.49958333333333,20.037,1972
8.94825,20.112,1973
8.4675,19.925,1974
8.74483333333333,20.051,1975
8.34725,19.852,1976
8.85025,20.327,1977
8.69275,19.911,1978
8.73341666666667,19.945,1979
8.98033333333333,20.466,1980
9.16583333333333,20.398,1981
8.63916666666667,20.311,1982
9.02816666666667,20.139,1983
8.69183333333334,20.109,1984
8.658,19.757,1985
8.83358333333333,19.987,1986
8.99441666666667,20.667,1987
9.20158333333333,20.466,1988
8.922,20.361,1989
9.23416666666667,20.401,1990
9.17941666666667,20.643,1991
8.83658333333333,19.853,1992
8.86658333333333,20.228,1993
9.03875,20.421,1994
9.34708333333333,20.803,1995
9.03891666666667,20.65,1996
9.20258333333333,20.26,1997
9.52266666666667,20.972,1998
9.28508333333333,20.578,1999
9.20116666666667,20.665,2000
9.41458333333333,20.923,2001
9.57041666666667,21.199,2002
9.52558333333333,20.757,2003
9.32458333333334,20.087,2004
9.70091666666667,20.88,2005
9.5325,20.905,2006
9.73216666666667,21.108,2007
9.43175,21.006,2008
9.50525,21.085,2009
9.70308333333333,20.97,2010
9.516,21.32,2011
9.50733333333333,21.006,2012
9.6065,20.737,2013
9.57066666666667,20.79,2014
9.831,20.904,2015
